Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,YrSold,SaleType,SaleCondition,SalePrice,DiffYearsSaleVSBuild,DiffYearsRemodAddVSBuild,DiffYearsGarageVSBuild,LotShape_agg,LotConfig_agg,Neighborhood_agg,Condition1_agg,OverallCond_agg,OverallQual_agg,Exterior1st_agg,Exterior2nd_agg,HeatingQC_agg,BsmtFullBath_optb,BsmtHalfBath_optb,FullBath_optb,HalfBath_optb,Functional_agg,Fireplaces_optb,FireplaceQu_agg,GarageType_optb,GarageQual_agg,SaleType_optb,SaleCondition_optb,LotShape_ord,LandContour_ord,Utilities_ord,LandSlope_ord,OverallQual_ord,OverallCond_ord,ExterQual_ord,ExterCond_ord,BsmtQual_ord,BsmtCond_ord,HeatingQC_ord,KitchenQual_ord,FireplaceQu_ord,GarageQual_ord,GarageCond_ord,PoolQC_ord,BsmtExposure_ord,BsmtFinType1_ord,BsmtFinType2_ord,Functional_ord,GarageFinish_ord
815,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,45,8248,Paved,Gravel,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Normal,Normal,Single-family Detached,1.5Fin,Average,Good,Gable,Standard (Composite) Shingle,Stucco,Stucco,No veener,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,686,686,Gas hot water or steam heat,Good,Yes,Standard Circuit Breakers & Romex,686,564,0,1250,0,1,1,1,3,1,Fair,7,Typical Functionality,0,No fireplace,Detached from home,Unfinished,1,280,Typical/Average,Typical/Average,Partial Pavement,207,0,96,0,0,0,No pool,No fence,No specificity,0,2006,Warranty Deed - Conventional,Normal Sale,116000,88.55616438356165,32.02191780821918,37.02465753424657,Regular,Inside lot,Est Ames,Normal,Good,Average,Other Exterior Materials,Other Exterior Materials,Good,"(-inf, 0.50)","[0.50, inf)","(-inf, 1.50)","[0.50, inf)",Typical Functionality,"(-inf, 0.50)",No fireplace,['Detached from home' 'More than one type of garage' 'Basement Garage'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",0,1,4,0,4,6,3,3,3,3,4,2,0,3,3,0,1,1,1,8,1
816,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,48,12137,Paved,nan,Moderately Irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,College Creek,Normal,Normal,Single-family Detached,One story,Good,Average,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,442,Average/Typical,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,1649,1649,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1661,0,0,1661,0,0,2,0,3,1,Good,6,Typical Functionality,0,No fireplace,Attached to home,Rough Finished,2,598,Typical/Average,Typical/Average,Paved,0,34,0,0,0,0,No pool,No fence,No specificity,0,2010,Warranty Deed - Conventional,Normal Sale,224900,12.336986301369864,0.0,0.0,Irregular,Cul-de-sac,Center and university,Normal,Average,Good,Vinyl Siding,Vinyl Siding,Excellent,"(-inf, 0.50)","(-inf, 0.50)","[1.50, inf)","(-inf, 0.50)",Typical Functionality,"(-inf, 0.50)",No fireplace,['Attached to home'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",2,1,4,0,6,4,3,3,4,3,5,4,0,3,3,0,1,1,1,8,2
817,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,0,11425,Paved,nan,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,North Ames,Normal,Normal,Single-family Detached,One story,Average,Above Average,Gable,Standard (Composite) Shingle,Brick Face,Brick Face,No veener,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,486,Unfinshed,0,522,1008,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1008,0,0,1008,0,0,1,0,2,1,Typical/Average,4,Typical Functionality,1,Good - Masonry Fireplace in main level,Attached to home,Rough Finished,1,275,Typical/Average,Typical/Average,Paved,0,0,120,0,0,0,No pool,No fence,No specificity,0,2006,Warranty Deed - Conventional,Normal Sale,137000,52.53150684931507,0.0,0.0,Slightly irregular,Corner lot,North Ames,Normal,Above Average,Average,Brick or Stone Façade,Brick or Stone Façade,Good,"(-inf, 0.50)","(-inf, 0.50)","(-inf, 1.50)","(-inf, 0.50)",Typical Functionality,"[0.50, 1.50)",Good - Masonry Fireplace in main level,['Attached to home'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",1,1,4,0,4,5,3,3,3,3,4,3,4,3,3,0,1,4,1,8,2
818,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,0,13265,Paved,nan,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Mitchell,Normal,Normal,Single-family Detached,One story,Very Good,Average,Hip,Standard (Composite) Shingle,Cement Board,CmentBd,Brick Face,148,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,1218,Unfinshed,0,350,1568,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1689,0,0,1689,1,0,2,0,3,1,Good,7,Typical Functionality,2,Good - Masonry Fireplace in main level,Attached to home,Rough Finished,3,857,Typical/Average,Typical/Average,Paved,150,59,0,0,0,0,No pool,No fence,No specificity,0,2008,Warranty Deed - Conventional,Normal Sale,271000,6.501369863013698,0.0,0.0,Slightly irregular,Cul-de-sac,South Est Ames,Normal,Average,Excellent,Cement Board,CmentBd,Excellent,"[0.50, inf)","(-inf, 0.50)","[1.50, inf)","(-inf, 0.50)",Typical Functionality,"[1.50, inf)",Good - Masonry Fireplace in main level,['Attached to home'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",1,1,4,0,7,4,4,3,4,3,5,4,4,3,3,0,1,6,1,8,2
819,SPLIT OR MULTI-LEVEL,Residential Low Density,80,8816,Paved,nan,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Clear Creek,Normal,Normal,Single-family Detached,SLvl,Above Average,Good,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,Brick Face,80,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,504,Unfinshed,0,506,1010,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1052,0,0,1052,1,0,1,0,3,1,Typical/Average,6,Typical Functionality,0,No fireplace,Attached to home,Unfinished,2,440,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No pool,Minimum Privacy,No specificity,0,2010,Warranty Deed - Conventional,Normal Sale,155000,39.441095890410956,0.0,0.0,Regular,Inside lot,Est Ames,Normal,Good,Above Average,Wood-Based Siding,Wood-Based Siding,Good,"[0.50, inf)","(-inf, 0.50)","(-inf, 1.50)","(-inf, 0.50)",Typical Functionality,"(-inf, 0.50)",No fireplace,['Attached to home'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",0,1,4,0,5,6,3,3,3,3,4,3,0,3,3,0,3,6,1,8,1
820,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low Density,44,6371,Paved,nan,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Normal,Townhouse End Unit,One story,Good,Average,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,128,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,Mimimum Exposure,Good Living Quarters,733,Unfinshed,0,625,1358,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1358,0,0,1358,1,0,2,0,2,1,Good,6,Typical Functionality,1,Good - Masonry Fireplace in main level,Attached to home,Rough Finished,2,484,Typical/Average,Typical/Average,Paved,192,35,0,0,0,0,No pool,No fence,No specificity,0,2010,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),224000,1.4136986301369863,1.0,1.0,Slightly irregular,Inside lot,North Ames,Normal,Average,Good,Vinyl Siding,Vinyl Siding,Excellent,"[0.50, inf)","(-inf, 0.50)","[1.50, inf)","(-inf, 0.50)",Typical Functionality,"[0.50, 1.50)",Good - Masonry Fireplace in main level,['Attached to home'],Typical/Average,"['Contract 15% Down payment regular terms'
 'Home just constructed and sold']",['Home was not completed when last assessed (associated with New Homes)'],1,1,4,0,6,4,4,3,4,3,5,4,4,3,3,0,2,6,1,8,2
821,2-STORY 1946 & NEWER,Residential Low Density,72,7226,Paved,nan,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,College Creek,Normal,Normal,Single-family Detached,2Story,Good,Average,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,No veener,0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,798,798,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,798,842,0,1640,0,0,2,1,3,1,Good,6,Typical Functionality,0,No fireplace,Attached to home,Rough Finished,2,595,Typical/Average,Typical/Average,Paved,0,45,0,0,0,0,No pool,No fence,No specificity,0,2008,Warranty Deed - Conventional,Normal Sale,183000,5.419178082191781,0.0,0.0,Slightly irregular,Cul-de-sac,Center and university,Normal,Average,Good,Vinyl Siding,Vinyl Siding,Excellent,"(-inf, 0.50)","(-inf, 0.50)","[1.50, inf)","[0.50, inf)",Typical Functionality,"(-inf, 0.50)",No fireplace,['Attached to home'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",1,1,4,0,6,4,4,3,4,3,5,4,0,3,3,0,1,1,1,8,2
822,1-STORY 1946 & NEWER ALL STYLES,Residential Medium Density,60,6000,Paved,Paved,Regular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Inside lot,Moderate Slope,Old Town,Normal,Normal,2fmCon,One story,Below Average,Below Average,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,No veener,0,Fair,Average/Typical,Cinder Block,Fair (70-79 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,936,936,Gas forced warm air furnace,Average/Typical,No,Standard Circuit Breakers & Romex,936,0,0,936,0,0,1,0,2,1,Typical/Average,4,Minor Deductions 2,0,No fireplace,Detached from home,Unfinished,2,576,Typical/Average,Typical/Average,Paved,0,32,112,0,0,0,No pool,No fence,No specificity,0,2009,Warranty Deed - Conventional,Normal Sale,93000,56.12328767123287,0.0,21.013698630136986,Regular,Inside lot,Center and university,Normal,Below Average,Below Average,Metal Siding,Metal Siding,Average/Typical,"(-inf, 0.50)","(-inf, 0.50)","(-inf, 1.50)","(-inf, 0.50)",Minor Deductions,"(-inf, 0.50)",No fireplace,['Detached from home' 'More than one type of garage' 'Basement Garage'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",0,2,4,1,3,3,2,3,2,3,3,3,0,3,3,0,1,1,1,6,1
823,2-STORY 1946 & NEWER,Residential Low Density,0,12394,Paved,nan,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Gilbert,Normal,Normal,Single-family Detached,2Story,Good,Average,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,No veener,0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Unfinshed,0,Unfinshed,0,847,847,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,847,886,0,1733,0,0,2,1,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace in main level,Built-In (Garage part of house - typically has room above garage),Finished,2,433,Typical/Average,Typical/Average,Paved,100,48,0,0,0,0,No pool,No fence,No specificity,0,2007,Warranty Deed - Conventional,Sale between family members,225000,4.750684931506849,0.0,0.0,Slightly irregular,Corner lot,North Ames,Normal,Average,Good,Vinyl Siding,Vinyl Siding,Excellent,"(-inf, 0.50)","(-inf, 0.50)","[1.50, inf)","[0.50, inf)",Typical Functionality,"[0.50, 1.50)",Good - Masonry Fireplace in main level,['Built-In (Garage part of house - typically has room above garage)'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Adjoining Land Purchase'
 'Abnormal Sale -  trade, foreclosure, short sale'
 'Sale between family members']",1,1,4,0,6,4,4,3,4,3,5,4,4,3,3,0,4,1,1,8,3
824,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,60,9900,Paved,nan,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,South & West of Iowa State University,Normal,Normal,Single-family Detached,1.5Fin,Above Average,Good,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,No veener,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,778,778,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,944,545,0,1489,0,0,2,0,3,1,Typical/Average,7,Typical Functionality,1,Good - Masonry Fireplace in main level,Detached from home,Unfinished,1,240,Typical/Average,Typical/Average,Paved,335,0,0,0,0,0,No pool,Good Wood,No specificity,0,2009,Warranty Deed - Conventional,Normal Sale,139500,69.54520547945205,10.008219178082191,0.0,Regular,Inside lot,South and west Ames,Normal,Good,Above Average,Vinyl Siding,Vinyl Siding,Average/Typical,"(-inf, 0.50)","(-inf, 0.50)","[1.50, inf)","(-inf, 0.50)",Typical Functionality,"[0.50, 1.50)",Good - Masonry Fireplace in main level,['Detached from home' 'More than one type of garage' 'Basement Garage'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",0,1,4,0,5,6,3,3,3,3,3,3,4,3,3,0,1,1,1,8,1
825,1-STORY 1946 & NEWER ALL STYLES,Floating Village Residential,81,11216,Paved,nan,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Normal,Single-family Detached,One story,Very Good,Average,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,No veener,0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Good,No Exposure,Unfinshed,0,Unfinshed,0,1489,1489,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1489,0,0,1489,0,0,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace in main level,Attached to home,Rough Finished,2,776,Typical/Average,Typical/Average,Paved,0,140,0,0,0,0,No pool,No fence,No specificity,0,2006,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),232600,0.4136986301369863,0.0,0.0,Regular,Inside lot,South and west Ames,Normal,Average,Excellent,Vinyl Siding,Vinyl Siding,Excellent,"(-inf, 0.50)","(-inf, 0.50)","[1.50, inf)","(-inf, 0.50)",Typical Functionality,"[0.50, 1.50)",Good - Masonry Fireplace in main level,['Attached to home'],Typical/Average,"['Contract 15% Down payment regular terms'
 'Home just constructed and sold']",['Home was not completed when last assessed (associated with New Homes)'],0,1,4,0,7,4,4,3,4,4,5,4,4,3,3,0,1,1,1,8,2
826,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,114,14803,Paved,nan,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,"Near positive off-site feature--park, greenbelt, etc.","Near positive off-site feature--park, greenbelt, etc.",Single-family Detached,One story,Very Excellent,Average,Hip,Standard (Composite) Shingle,Cement Board,CmentBd,Brick Face,816,Excellent,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,1636,Unfinshed,0,442,2078,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2084,0,0,2084,1,0,2,0,2,1,Excellent,7,Typical Functionality,1,Good - Masonry Fireplace in main level,Attached to home,Finished,3,1220,Typical/Average,Typical/Average,Paved,188,45,0,0,0,0,No pool,No fence,No specificity,0,2008,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),385000,1.4164383561643836,1.0,0.0,Regular,Inside lot,North Ames,Near positive off-site,Average,Excellent,Cement Board,CmentBd,Excellent,"[0.50, inf)","(-inf, 0.50)","[1.50, inf)","(-inf, 0.50)",Typical Functionality,"[0.50, 1.50)",Good - Masonry Fireplace in main level,['Attached to home'],Typical/Average,"['Contract 15% Down payment regular terms'
 'Home just constructed and sold']",['Home was not completed when last assessed (associated with New Homes)'],0,1,4,0,9,4,5,3,5,3,5,5,4,3,3,0,3,6,1,8,3
827,1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium Density,50,6130,Paved,nan,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Normal,Normal,Single-family Detached,1.5Unf,Average,Above Average,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,No veener,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,784,Unfinshed,0,0,784,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,784,0,0,784,1,0,1,0,2,1,Good,5,Typical Functionality,0,No fireplace,No garage,No garage,0,0,No garage,No garage,Paved,0,0,116,0,0,0,No pool,No fence,No specificity,0,2008,Warranty Deed - Conventional,Normal Sale,109500,84.3890410958904,26.019178082191782,0.0,Regular,Inside lot,Green and Natural Areas,Normal,Above Average,Average,Metal Siding,Metal Siding,Good,"[0.50, inf)","(-inf, 0.50)","(-inf, 1.50)","(-inf, 0.50)",Typical Functionality,"(-inf, 0.50)",No fireplace,['No garage' 'Car Port'],No garage,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",0,1,4,0,4,5,3,3,3,3,4,4,0,0,0,0,1,5,1,8,0
828,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,65,8529,Paved,nan,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Normal,Normal,Single-family Detached,One story,Good,Average,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,No veener,0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,20,Unfinshed,0,1434,1454,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1434,0,0,1434,0,0,2,0,3,1,Good,6,Typical Functionality,1,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,Rough Finished,2,527,Typical/Average,Typical/Average,Paved,290,39,0,0,0,0,No pool,No fence,No specificity,0,2009,Warranty Deed - Conventional,Normal Sale,189000,8.252054794520548,0.0,0.0,Slightly irregular,Inside lot,South and west Ames,Normal,Average,Good,Vinyl Siding,Vinyl Siding,Excellent,"(-inf, 0.50)","(-inf, 0.50)","[1.50, inf)","(-inf, 0.50)",Typical Functionality,"[0.50, 1.50)",Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,['Attached to home'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",1,1,4,0,6,4,4,3,4,3,5,4,3,3,3,0,1,6,1,8,2
829,2-STORY 1946 & NEWER,Residential Low Density,0,28698,Paved,nan,Moderately Irregular,Depression,"All public Utilities (E,G,W,& S)",Cul-de-sac,Severe Slope,Clear Creek,Normal,Normal,Single-family Detached,2Story,Average,Average,Flat,Gravel & Tar,Plywood,Plywood,No veener,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Good,Good Exposure,Low Quality,249,Average Living Quarters,764,0,1013,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1160,966,0,2126,0,1,2,1,3,1,Typical/Average,7,Minor Deductions 2,0,No fireplace,Attached to home,Finished,2,538,Typical/Average,Typical/Average,Paved,486,0,0,0,225,0,No pool,No fence,No specificity,0,2009,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",185000,42.443835616438356,0.0,0.0,Irregular,Cul-de-sac,Est Ames,Normal,Average,Average,Wood-Based Siding,Wood-Based Siding,Average/Typical,"(-inf, 0.50)","[0.50, inf)","[1.50, inf)","[0.50, inf)",Minor Deductions,"(-inf, 0.50)",No fireplace,['Attached to home'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Adjoining Land Purchase'
 'Abnormal Sale -  trade, foreclosure, short sale'
 'Sale between family members']",2,0,4,2,4,4,3,3,3,4,3,3,0,3,3,0,4,2,5,6,3
830,2-STORY PUD - 1946 & NEWER,Floating Village Residential,24,2544,Paved,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Normal,Twnhs,2Story,Good,Average,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,No veener,0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,600,600,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,520,623,80,1223,0,0,2,1,2,1,Good,4,Typical Functionality,0,No fireplace,Detached from home,Rough Finished,2,480,Typical/Average,Typical/Average,Paved,0,166,0,0,0,0,No pool,No fence,No specificity,0,2006,Warranty Deed - Conventional,Normal Sale,147400,1.4958904109589042,0.0,0.0,Regular,Inside lot,South and west Ames,Normal,Average,Good,Metal Siding,Metal Siding,Excellent,"(-inf, 0.50)","(-inf, 0.50)","[1.50, inf)","[0.50, inf)",Typical Functionality,"(-inf, 0.50)",No fireplace,['Detached from home' 'More than one type of garage' 'Basement Garage'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",0,1,4,0,6,4,4,3,4,3,5,4,0,3,3,0,1,1,1,8,2
831,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,80,11900,Paved,nan,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,North Ames,Normal,Normal,Single-family Detached,One story,Above Average,Average,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,Brick Face,387,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,1040,Unfinshed,0,352,1392,Gas forced warm air furnace,Average/Typical,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1392,0,0,1392,1,0,1,1,3,1,Typical/Average,6,Typical Functionality,2,Good - Masonry Fireplace in main level,Attached to home,Rough Finished,2,458,Typical/Average,Typical/Average,Paved,0,0,0,0,192,0,No pool,No fence,No specificity,0,2008,Warranty Deed - Conventional,Normal Sale,166000,51.44931506849315,0.0,0.0,Slightly irregular,Corner lot,North Ames,Normal,Average,Above Average,Wood-Based Siding,Wood-Based Siding,Average/Typical,"[0.50, inf)","(-inf, 0.50)","(-inf, 1.50)","[0.50, inf)",Typical Functionality,"[1.50, inf)",Good - Masonry Fireplace in main level,['Attached to home'],Typical/Average,"['Other' 'Contract Low Down' 'Contract Low Down payment and low interest'
 'Court Officer Deed/Estate' 'Warranty Deed - Conventional'
 'Contract Low Interest' 'Warranty Deed - Cash']","['Allocation - two linked properties with separate deeds, typically condo with a garage unit'
 'Normal Sale']",1,1,4,0,5,4,3,3,3,3,3,3,4,3,3,0,1,3,1,8,2
